State,City,Pincode,First Mile (TRUE/FALSE),Last Mile (TRUE/FALSE),Reverse Pickup (TRUE/FALSE),Route Code,COD Limit,Prepaid Limit,Doorstep Return (TRUE/FALSE),Doorstep QC (TRUE/FALSE),Pickup CutOff (11:30/17:00),Installation (TRUE/FALSE)
Haryana,Jhajjar,124105,True,True,,,,,False,True,,False
Haryana,Jhajjar,124106,True,True,,,,,False,True,,False
Haryana,Jhajjar,124107,False,True,,,,,False,True,,False
Haryana,Jhajjar,124108,True,True,,,,,False,True,,False
Haryana,Jhajjar,124109,False,True,,,,,False,True,,False
Haryana,Rohtak,124111,False,True,,,,,False,True,,False
Haryana,Rohtak,124112,True,True,,,,,False,True,,False
Haryana,Rohtak,124113,True,True,,,,,False,True,,False
Haryana,Jhajjar,124127,True,True,,,,,False,True,,False
Haryana,Rohtak,124141,True,True,,,,,False,True,,False
Haryana,Jhajjar,124142,True,True,,,,,False,True,,False
Haryana,Jhajjar,124146,True,True,,,,,False,True,,False
Haryana,Jhajjar,124201,False,True,,,,,False,True,,False
Haryana,Jhajjar,124202,True,True,,,,,False,True,,False
Haryana,Rohtak,124303,True,True,,,,,False,True,,False
Haryana,Rohtak,124401,True,True,,,,,False,True,,False
Haryana,Jhajjar,124404,False,True,,,,,False,True,,False
Haryana,Rohtak,124406,True,True,,,,,False,True,,False
Haryana,Rohtak,124411,True,True,,,,,False,True,,False
Haryana,Rohtak,124412,False,True,,,,,False,True,,False
Haryana,Jhajjar,124501,True,True,,,,,False,True,,False
Haryana,Jhajjar,124504,True,True,,,,,False,True,,False
Haryana,Jhajjar,124505,True,True,,,,,False,True,,False
Haryana,Jhajjar,124506,False,True,,,,,False,True,,False
Haryana,Jhajjar,124507,True,True,,,,,False,True,,False
Haryana,Rohtak,124508,True,True,,,,,False,True,,False
Haryana,Rohtak,124513,True,True,,,,,False,True,,False
Haryana,Rohtak,124514,True,True,,,,,False,True,,False
Haryana,Hisar,125001,True,True,,,,,False,True,,False
Haryana,Hisar,125002,True,True,,,,,False,True,,False
Haryana,Hisar,125003,True,True,,,,,False,True,,False
Haryana,Hisar,125004,True,True,,,,,False,True,,False
Haryana,Hisar,125005,True,True,,,,,False,True,,False
Haryana,Hisar,125006,True,True,,,,,False,True,,False
Haryana,Hisar,125007,True,True,,,,,False,True,,False
Haryana,Hisar,125011,True,True,,,,,False,True,,False
Haryana,Bhiwani,125021,False,True,,,,,False,True,,False
Haryana,Hisar,125033,True,True,,,,,False,True,,False
Haryana,Hisar,125037,True,True,,,,,False,True,,False
Haryana,Hisar,125038,True,True,,,,,False,True,,False
